timestamp,node_name,cell_name,l_traffic_activeuser_dl_avg,l_traffic_activeuser_dl_max,l_traffic_activeuser_ul_avg,l_traffic_activeuser_dl_max_1,l_traffic_user_avg,l_traffic_user_max,l_chmeas_prb_dl_avail,l_chmeas_prb_dl_used_avg,l_chmeas_prb_ul_avail,l_chmeas_prb_ul_used_avg,l_thrp_bits_dl,l_thrp_bits_ul,dl_prb_usage,ul_prb_usage,user_exp
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,2.4374,12,2.1678,13,17.0308,30,50,39.1853,50,16.0429,22871087136,1420168600,78.3706,32.0858,3.061995107159969
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,1.4142,9,0.7262,8,12.5313,23,50,29.6377,50,9.9692,16008036848,1010079104,59.2754,19.9384,3.892559310896078
2024-05-20 13:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,1.1301,8,0.5455,6,13.0289,27,50,27.3861,50,9.8927,17291937848,1326085696,54.77219999999999,19.7854,5.108160415218575
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_2,1.0028,9,0.5067,6,12.5482,23,50,25.673,50,10.2519,15645203128,1064563424,51.34599999999999,20.5038,5.330129430288752
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_7,3.8202,23,2.1537,12,56.7723,80,50,40.7004,50,21.2887,57127009024,5150365560,81.4008,42.5774,5.635373516011992
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_B7_9,1.1715,12,0.8401,7,23.8595,38,50,24.1698,50,13.4796,23458127888,1338390320,48.3396,26.9592,7.74980841951148
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_4,2.1675,11,1.6913,10,16.6004,34,50,39.4826,50,14.8525,19511297216,1179263216,78.9652,29.705,2.9835493798242947
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_5,1.6296,10,0.776,8,13.6287,21,50,30.0832,50,11.3198,13641754432,1242355016,60.1664,22.6396,2.6989878926550324
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_B28_6,2.4156,14,2.0318,10,18.2941,32,50,37.0687,50,23.814,22971674376,5736230184,74.1374,47.628,3.4734425330985363
2024-05-20 14:00:00.000000,BTA El Ensueno,BTA El Ensueno_AWS_1,2.7545,21,1.8627,12,40.108,65,50,38.0792,50,19.613,41844054784,5585908792,76.1584,39.226,5.207361635229309
